boarding-method,cross-delay,seat-interference-delay,assign-to-nearest-doorluggage-count-0,luggage-count-possibility-0,luggage-count-1,luggage-count-possibility-1,walk-speed-0,walk-speed-possibility-0,walk-speed-1,walk-speed-possibility-1,Iterations;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,553;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,612;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,543;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,612;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,586;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,607;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,607;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,601;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,564;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,520;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,574;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,644;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,517;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,599;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,549;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,533;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,596;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,565;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,552;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,609;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,597;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,589;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,566;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,552;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,593;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,565;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,630;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,530;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,619;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,644;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,598;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,570;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,574;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,522;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,589;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,538;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,590;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,598;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,538;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,507;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,572;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,604;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,593;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,539;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,595;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,574;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,541;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,593;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,532;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,551;
