boarding-method,cross-delay,seat-interference-delay,assign-to-nearest-doorluggage-count-0,luggage-count-possibility-0,luggage-count-1,luggage-count-possibility-1,walk-speed-0,walk-speed-possibility-0,walk-speed-1,walk-speed-possibility-1,Iterations;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,392;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,400;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,397;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,367;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,385;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,374;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,411;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,436;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,407;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,396;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,376;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,400;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,397;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,438;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,387;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,411;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,387;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,384;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,394;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,335;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,351;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,377;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,383;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,416;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,404;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,376;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,407;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,396;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,413;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,406;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,433;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,393;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,406;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,357;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,425;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,384;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,344;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,412;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,351;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,416;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,406;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,417;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,377;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,352;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,439;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,370;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,365;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,380;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,391;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,387;
