boarding-method,cross-delay,seat-interference-delay,assign-to-nearest-doorluggage-count-0,luggage-count-possibility-0,luggage-count-1,luggage-count-possibility-1,walk-speed-0,walk-speed-possibility-0,walk-speed-1,walk-speed-possibility-1,Iterations;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,681;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,742;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,701;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,640;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,759;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,729;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,667;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,718;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,677;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,658;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,719;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,736;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,701;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,705;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,771;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,728;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,697;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,772;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,736;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,705;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,703;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,730;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,728;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,699;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,691;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,677;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,721;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,764;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,715;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,767;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,720;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,696;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,776;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,713;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,669;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,693;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,734;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,759;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,705;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,714;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,726;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,775;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,712;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,709;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,737;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,651;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,692;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,721;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,686;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,771;
