boarding-method,cross-delay,seat-interference-delay,assign-to-nearest-doorluggage-count-0,luggage-count-possibility-0,luggage-count-1,luggage-count-possibility-1,walk-speed-0,walk-speed-possibility-0,walk-speed-1,walk-speed-possibility-1,Iterations;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,711;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,692;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,693;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,767;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,692;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,747;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,733;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,688;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,722;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,781;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,727;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,808;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,683;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,700;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,735;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,746;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,836;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,708;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,712;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,688;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,762;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,700;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,755;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,698;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,703;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,745;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,781;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,687;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,737;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,701;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,751;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,656;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,758;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,825;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,773;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,751;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,677;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,694;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,710;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,707;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,743;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,765;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,724;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,730;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,762;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,670;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,795;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,748;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,726;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,647;
