boarding-method,cross-delay,seat-interference-delay,assign-to-nearest-doorluggage-count-0,luggage-count-possibility-0,luggage-count-1,luggage-count-possibility-1,walk-speed-0,walk-speed-possibility-0,walk-speed-1,walk-speed-possibility-1,Iterations;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,307;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,312;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,303;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,306;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,322;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,297;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,321;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,324;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,318;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,316;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,307;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,308;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,289;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,312;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,311;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,308;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,296;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,320;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,303;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,296;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,301;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,307;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,309;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,315;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,302;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,312;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,317;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,283;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,296;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,310;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,291;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,297;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,303;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,312;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,307;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,294;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,317;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,305;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,308;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,273;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,302;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,318;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,313;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,303;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,296;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,308;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,301;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,298;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,303;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,282;
