boarding-method,cross-delay,seat-interference-delay,assign-to-nearest-doorluggage-count-0,luggage-count-possibility-0,luggage-count-1,luggage-count-possibility-1,walk-speed-0,walk-speed-possibility-0,walk-speed-1,walk-speed-possibility-1,Iterations;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,253;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,218;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,256;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,228;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,233;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,237;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,236;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,235;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,241;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,224;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,203;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,222;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,246;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,218;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,241;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,232;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,231;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,218;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,260;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,228;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,193;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,206;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,224;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,227;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,247;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,225;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,233;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,234;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,223;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,279;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,233;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,212;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,218;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,218;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,261;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,219;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,217;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,220;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,243;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,243;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,231;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,235;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,216;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,212;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,195;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,232;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,222;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,249;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,211;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,230;
