boarding-method,cross-delay,seat-interference-delay,assign-to-nearest-doorluggage-count-0,luggage-count-possibility-0,luggage-count-1,luggage-count-possibility-1,walk-speed-0,walk-speed-possibility-0,walk-speed-1,walk-speed-possibility-1,Iterations;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,363;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,382;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,392;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,399;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,365;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,379;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,387;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,376;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,383;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,404;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,426;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,404;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,380;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,397;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,403;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,417;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,403;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,405;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,371;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,387;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,385;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,392;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,391;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,418;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,390;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,361;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,385;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,380;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,412;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,393;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,407;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,400;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,387;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,426;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,391;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,416;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,408;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,399;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,355;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,376;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,409;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,378;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,396;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,373;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,358;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,377;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,373;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,358;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,380;
BoardingMethods/steffenmodified.txt,5,0,12,30,6,70,1,50,2,50,386;
