boarding-method,cross-delay,seat-interference-delay,assign-to-nearest-doorluggage-count-0,luggage-count-possibility-0,luggage-count-1,luggage-count-possibility-1,walk-speed-0,walk-speed-possibility-0,walk-speed-1,walk-speed-possibility-1,Iterations;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,585;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,638;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,568;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,543;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,611;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,603;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,599;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,538;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,587;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,611;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,590;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,518;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,625;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,618;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,535;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,562;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,598;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,588;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,559;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,638;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,634;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,620;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,530;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,618;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,596;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,578;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,568;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,567;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,575;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,477;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,538;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,527;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,482;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,640;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,547;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,509;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,544;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,562;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,575;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,507;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,572;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,523;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,567;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,559;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,536;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,497;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,574;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,580;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,521;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,607;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,581;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,548;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,558;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,646;
BoardingMethods/backtofront.txt,5,0,12,30,6,70,1,50,2,50,607;
