boarding-method,cross-delay,seat-interference-delay,assign-to-nearest-doorluggage-count-0,luggage-count-possibility-0,luggage-count-1,luggage-count-possibility-1,walk-speed-0,walk-speed-possibility-0,walk-speed-1,walk-speed-possibility-1,Iterations;
BoardingMethods/backtofront1door.txt,5,0,12,30,6,70,1,50,2,50,794;
BoardingMethods/backtofront1door.txt,5,0,12,30,6,70,1,50,2,50,811;
BoardingMethods/backtofront1door.txt,5,0,12,30,6,70,1,50,2,50,849;
BoardingMethods/backtofront1door.txt,5,0,12,30,6,70,1,50,2,50,803;
BoardingMethods/backtofront1door.txt,5,0,12,30,6,70,1,50,2,50,856;
BoardingMethods/backtofront1door.txt,5,0,12,30,6,70,1,50,2,50,837;
BoardingMethods/backtofront1door.txt,5,0,12,30,6,70,1,50,2,50,816;
BoardingMethods/backtofront1door.txt,5,0,12,30,6,70,1,50,2,50,866;
BoardingMethods/backtofront1door.txt,5,0,12,30,6,70,1,50,2,50,837;
BoardingMethods/backtofront1door.txt,5,0,12,30,6,70,1,50,2,50,809;
BoardingMethods/backtofront1door.txt,5,0,12,30,6,70,1,50,2,50,803;
BoardingMethods/backtofront1door.txt,5,0,12,30,6,70,1,50,2,50,815;
BoardingMethods/backtofront1door.txt,5,0,12,30,6,70,1,50,2,50,871;
BoardingMethods/backtofront1door.txt,5,0,12,30,6,70,1,50,2,50,838;
BoardingMethods/backtofront1door.txt,5,0,12,30,6,70,1,50,2,50,811;
BoardingMethods/backtofront1door.txt,5,0,12,30,6,70,1,50,2,50,853;
BoardingMethods/backtofront1door.txt,5,0,12,30,6,70,1,50,2,50,816;
BoardingMethods/backtofront1door.txt,5,0,12,30,6,70,1,50,2,50,876;
BoardingMethods/backtofront1door.txt,5,0,12,30,6,70,1,50,2,50,792;
BoardingMethods/backtofront1door.txt,5,0,12,30,6,70,1,50,2,50,777;
BoardingMethods/backtofront1door.txt,5,0,12,30,6,70,1,50,2,50,822;
BoardingMethods/backtofront1door.txt,5,0,12,30,6,70,1,50,2,50,890;
BoardingMethods/backtofront1door.txt,5,0,12,30,6,70,1,50,2,50,780;
BoardingMethods/backtofront1door.txt,5,0,12,30,6,70,1,50,2,50,957;
BoardingMethods/backtofront1door.txt,5,0,12,30,6,70,1,50,2,50,832;
BoardingMethods/backtofront1door.txt,5,0,12,30,6,70,1,50,2,50,849;
BoardingMethods/backtofront1door.txt,5,0,12,30,6,70,1,50,2,50,878;
BoardingMethods/backtofront1door.txt,5,0,12,30,6,70,1,50,2,50,810;
BoardingMethods/backtofront1door.txt,5,0,12,30,6,70,1,50,2,50,852;
BoardingMethods/backtofront1door.txt,5,0,12,30,6,70,1,50,2,50,868;
BoardingMethods/backtofront1door.txt,5,0,12,30,6,70,1,50,2,50,870;
BoardingMethods/backtofront1door.txt,5,0,12,30,6,70,1,50,2,50,875;
BoardingMethods/backtofront1door.txt,5,0,12,30,6,70,1,50,2,50,862;
BoardingMethods/backtofront1door.txt,5,0,12,30,6,70,1,50,2,50,846;
BoardingMethods/backtofront1door.txt,5,0,12,30,6,70,1,50,2,50,822;
BoardingMethods/backtofront1door.txt,5,0,12,30,6,70,1,50,2,50,778;
BoardingMethods/backtofront1door.txt,5,0,12,30,6,70,1,50,2,50,811;
BoardingMethods/backtofront1door.txt,5,0,12,30,6,70,1,50,2,50,871;
BoardingMethods/backtofront1door.txt,5,0,12,30,6,70,1,50,2,50,921;
BoardingMethods/backtofront1door.txt,5,0,12,30,6,70,1,50,2,50,825;
BoardingMethods/backtofront1door.txt,5,0,12,30,6,70,1,50,2,50,882;
