boarding-method,cross-delay,seat-interference-delay,assign-to-nearest-doorluggage-count-0,luggage-count-possibility-0,luggage-count-1,luggage-count-possibility-1,walk-speed-0,walk-speed-possibility-0,walk-speed-1,walk-speed-possibility-1,Iterations;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,492;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,542;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,542;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,468;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,457;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,500;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,481;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,517;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,525;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,480;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,518;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,476;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,504;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,577;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,491;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,483;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,463;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,454;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,527;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,420;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,500;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,462;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,479;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,491;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,487;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,468;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,482;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,475;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,506;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,516;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,553;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,498;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,527;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,532;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,547;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,461;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,456;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,512;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,499;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,516;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,519;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,474;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,548;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,477;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,509;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,488;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,492;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,523;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,457;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,516;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,518;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,556;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,467;
BoardingMethods/fronttoback.txt,5,0,12,30,6,70,1,50,2,50,535;
