boarding-method,cross-delay,seat-interference-delay,assign-to-nearest-doorluggage-count-0,luggage-count-possibility-0,luggage-count-1,luggage-count-possibility-1,walk-speed-0,walk-speed-possibility-0,walk-speed-1,walk-speed-possibility-1,Iterations;
BoardingMethods/fronttoback1door.txt,5,0,12,30,6,70,1,50,2,50,1025;
BoardingMethods/fronttoback1door.txt,5,0,12,30,6,70,1,50,2,50,949;
BoardingMethods/fronttoback1door.txt,5,0,12,30,6,70,1,50,2,50,1018;
BoardingMethods/fronttoback1door.txt,5,0,12,30,6,70,1,50,2,50,960;
BoardingMethods/fronttoback1door.txt,5,0,12,30,6,70,1,50,2,50,976;
BoardingMethods/fronttoback1door.txt,5,0,12,30,6,70,1,50,2,50,1006;
BoardingMethods/fronttoback1door.txt,5,0,12,30,6,70,1,50,2,50,943;
BoardingMethods/fronttoback1door.txt,5,0,12,30,6,70,1,50,2,50,1045;
BoardingMethods/fronttoback1door.txt,5,0,12,30,6,70,1,50,2,50,920;
BoardingMethods/fronttoback1door.txt,5,0,12,30,6,70,1,50,2,50,982;
BoardingMethods/fronttoback1door.txt,5,0,12,30,6,70,1,50,2,50,1034;
BoardingMethods/fronttoback1door.txt,5,0,12,30,6,70,1,50,2,50,1054;
BoardingMethods/fronttoback1door.txt,5,0,12,30,6,70,1,50,2,50,958;
BoardingMethods/fronttoback1door.txt,5,0,12,30,6,70,1,50,2,50,1009;
BoardingMethods/fronttoback1door.txt,5,0,12,30,6,70,1,50,2,50,996;
BoardingMethods/fronttoback1door.txt,5,0,12,30,6,70,1,50,2,50,1003;
BoardingMethods/fronttoback1door.txt,5,0,12,30,6,70,1,50,2,50,1028;
BoardingMethods/fronttoback1door.txt,5,0,12,30,6,70,1,50,2,50,1010;
BoardingMethods/fronttoback1door.txt,5,0,12,30,6,70,1,50,2,50,980;
BoardingMethods/fronttoback1door.txt,5,0,12,30,6,70,1,50,2,50,943;
BoardingMethods/fronttoback1door.txt,5,0,12,30,6,70,1,50,2,50,1003;
BoardingMethods/fronttoback1door.txt,5,0,12,30,6,70,1,50,2,50,969;
BoardingMethods/fronttoback1door.txt,5,0,12,30,6,70,1,50,2,50,1035;
BoardingMethods/fronttoback1door.txt,5,0,12,30,6,70,1,50,2,50,969;
BoardingMethods/fronttoback1door.txt,5,0,12,30,6,70,1,50,2,50,1074;
BoardingMethods/fronttoback1door.txt,5,0,12,30,6,70,1,50,2,50,981;
BoardingMethods/fronttoback1door.txt,5,0,12,30,6,70,1,50,2,50,973;
BoardingMethods/fronttoback1door.txt,5,0,12,30,6,70,1,50,2,50,1011;
BoardingMethods/fronttoback1door.txt,5,0,12,30,6,70,1,50,2,50,953;
BoardingMethods/fronttoback1door.txt,5,0,12,30,6,70,1,50,2,50,927;
