boarding-method,cross-delay,seat-interference-delay,assign-to-nearest-doorluggage-count-0,luggage-count-possibility-0,luggage-count-1,luggage-count-possibility-1,walk-speed-0,walk-speed-possibility-0,walk-speed-1,walk-speed-possibility-1,Iterations;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,396;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,410;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,353;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,358;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,419;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,375;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,375;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,426;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,388;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,388;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,385;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,439;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,446;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,351;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,388;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,388;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,404;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,392;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,367;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,359;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,372;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,495;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,378;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,384;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,388;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,425;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,344;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,422;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,426;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,431;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,408;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,399;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,360;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,358;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,401;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,351;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,407;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,435;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,438;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,428;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,383;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,384;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,389;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,444;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,400;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,401;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,393;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,413;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,420;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,378;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,390;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,405;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,402;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,379;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,370;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,382;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,368;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,427;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,378;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,377;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,420;
BoardingMethods/random.txt,5,0,12,30,6,70,1,50,2,50,386;
