boarding-method,cross-delay,seat-interference-delay,assign-to-nearest-doorluggage-count-0,luggage-count-possibility-0,luggage-count-1,luggage-count-possibility-1,walk-speed-0,walk-speed-possibility-0,walk-speed-1,walk-speed-possibility-1,Iterations;
BoardingMethods/random1door.txt,5,0,12,30,6,70,1,50,2,50,656;
BoardingMethods/random1door.txt,5,0,12,30,6,70,1,50,2,50,621;
BoardingMethods/random1door.txt,5,0,12,30,6,70,1,50,2,50,620;
BoardingMethods/random1door.txt,5,0,12,30,6,70,1,50,2,50,567;
BoardingMethods/random1door.txt,5,0,12,30,6,70,1,50,2,50,599;
BoardingMethods/random1door.txt,5,0,12,30,6,70,1,50,2,50,588;
BoardingMethods/random1door.txt,5,0,12,30,6,70,1,50,2,50,566;
BoardingMethods/random1door.txt,5,0,12,30,6,70,1,50,2,50,658;
BoardingMethods/random1door.txt,5,0,12,30,6,70,1,50,2,50,685;
BoardingMethods/random1door.txt,5,0,12,30,6,70,1,50,2,50,656;
BoardingMethods/random1door.txt,5,0,12,30,6,70,1,50,2,50,648;
BoardingMethods/random1door.txt,5,0,12,30,6,70,1,50,2,50,548;
BoardingMethods/random1door.txt,5,0,12,30,6,70,1,50,2,50,654;
BoardingMethods/random1door.txt,5,0,12,30,6,70,1,50,2,50,611;
BoardingMethods/random1door.txt,5,0,12,30,6,70,1,50,2,50,688;
BoardingMethods/random1door.txt,5,0,12,30,6,70,1,50,2,50,635;
BoardingMethods/random1door.txt,5,0,12,30,6,70,1,50,2,50,627;
BoardingMethods/random1door.txt,5,0,12,30,6,70,1,50,2,50,685;
BoardingMethods/random1door.txt,5,0,12,30,6,70,1,50,2,50,610;
BoardingMethods/random1door.txt,5,0,12,30,6,70,1,50,2,50,629;
BoardingMethods/random1door.txt,5,0,12,30,6,70,1,50,2,50,590;
BoardingMethods/random1door.txt,5,0,12,30,6,70,1,50,2,50,599;
BoardingMethods/random1door.txt,5,0,12,30,6,70,1,50,2,50,673;
BoardingMethods/random1door.txt,5,0,12,30,6,70,1,50,2,50,607;
BoardingMethods/random1door.txt,5,0,12,30,6,70,1,50,2,50,636;
BoardingMethods/random1door.txt,5,0,12,30,6,70,1,50,2,50,558;
BoardingMethods/random1door.txt,5,0,12,30,6,70,1,50,2,50,570;
BoardingMethods/random1door.txt,5,0,12,30,6,70,1,50,2,50,610;
BoardingMethods/random1door.txt,5,0,12,30,6,70,1,50,2,50,567;
BoardingMethods/random1door.txt,5,0,12,30,6,70,1,50,2,50,674;
BoardingMethods/random1door.txt,5,0,12,30,6,70,1,50,2,50,667;
BoardingMethods/random1door.txt,5,0,12,30,6,70,1,50,2,50,619;
